Model,MAE,RMSE,R²
Ridge Regression,24.5,29.261749776799064,-0.4264889629321116
Random Forest,24.5,29.142038363848197,-0.4148411495210329
Gradient Boosting,24.5,29.261749776799064,-0.4264889629321116
